CaseId,PacketId,SourceId,DestinationId,ApplicationBytes,Dscp,GeneratedSeconds,BeforeOutcome,AfterOutcome,BeforeLatencySeconds,AfterLatencySeconds,BothDeliveredLatencyDeltaSeconds,BeforeDropReason,AfterDropReason
offered_load_x2_seed130,23,2,1,64,0,289.5,delivered,delivered,0.279492666613123,0.279492666613123,0.0,,
offered_load_x2_seed130,24,3,1,64,0,289.5,delivered,delivered,2.54149266660909,2.54149266660909,0.0,,
offered_load_x2_seed130,25,2,1,64,0,294.0,delivered,delivered,0.160492666605307,0.160492666605307,0.0,,
offered_load_x2_seed130,26,3,1,64,0,294.0,delivered,delivered,2.30549266660148,2.30549266660148,0.0,,
offered_load_x2_seed130,27,2,1,64,0,298.5,delivered,delivered,0.184492666597237,0.184492666597237,0.0,,
offered_load_x2_seed130,28,3,1,64,0,298.5,delivered,delivered,2.34249266659339,2.34249266659339,0.0,,
offered_load_x2_seed130,29,2,1,64,0,303.0,delivered,delivered,2.41849266658522,2.41849266658522,0.0,,
offered_load_x2_seed130,30,3,1,64,0,303.0,delivered,delivered,2.63949266658483,2.63949266658483,0.0,,
offered_load_x4_seed128,1,2,1,64,0,240.0,delivered,delivered,1.55395266666685,1.55395266666685,0.0,,
offered_load_x4_seed128,2,3,1,64,0,240.0,delivered,delivered,2.83649266666774,2.83649266666774,0.0,,
offered_load_x4_seed128,3,2,1,64,0,242.25,delivered,delivered,0.404492666667664,0.404492666667664,0.0,,
offered_load_x4_seed128,4,3,1,64,0,242.25,delivered,delivered,0.963492666667889,0.963492666667889,0.0,,
offered_load_x4_seed128,5,2,1,64,0,244.5,delivered,delivered,0.18249266666848,0.18249266666848,0.0,,
offered_load_x4_seed128,6,3,1,64,0,244.5,delivered,delivered,2.52249266666942,2.52249266666942,0.0,,
offered_load_x4_seed128,7,2,1,64,0,246.75,delivered,delivered,2.50751266667029,2.50751266667029,0.0,,
offered_load_x4_seed128,8,3,1,64,0,246.75,delivered,delivered,0.792492666669631,0.792492666669631,0.0,,
offered_load_x4_seed128,9,2,1,64,0,249.0,delivered,delivered,0.257512666670294,0.257512666670294,0.0,,
offered_load_x4_seed128,10,3,1,64,0,249.0,delivered,delivered,2.39049266667118,2.39049266667118,0.0,,
offered_load_x4_seed128,11,2,1,64,0,251.25,delivered,delivered,0.296492666671242,0.296492666671242,0.0,,
offered_load_x4_seed128,12,3,1,64,0,251.25,delivered,delivered,0.829492666671456,0.829492666671456,0.0,,
offered_load_x4_seed128,13,2,1,64,0,253.5,delivered,delivered,2.491512666673,2.491512666673,0.0,,
offered_load_x4_seed128,14,3,1,64,0,253.5,delivered,delivered,0.20449266667211,0.20449266667211,0.0,,
offered_load_x4_seed128,15,2,1,64,0,255.75,delivered,delivered,0.241512666673003,0.241512666673003,0.0,,
offered_load_x4_seed128,16,3,1,64,0,255.75,delivered,delivered,2.50449266666936,2.50449266666936,0.0,,
offered_load_x4_seed128,17,2,1,64,0,258.0,delivered,delivered,2.5545126666654,2.5545126666654,0.0,,
offered_load_x4_seed128,18,3,1,64,0,258.0,delivered,delivered,0.644492666668668,0.644492666668668,0.0,,
offered_load_x4_seed128,19,2,1,64,0,260.25,delivered,delivered,0.304512666665403,0.304512666665403,0.0,,
offered_load_x4_seed128,20,3,1,64,0,260.25,delivered,delivered,2.34649266666162,2.34649266666162,0.0,,
offered_load_x4_seed128,21,2,1,64,0,262.5,delivered,delivered,0.278492666661293,0.278492666661293,0.0,,
offered_load_x4_seed128,22,3,1,64,0,262.5,delivered,delivered,2.60451266665729,2.60451266665729,0.0,,
offered_load_x4_seed128,23,2,1,64,0,264.75,delivered,delivered,2.48651266665348,2.48651266665348,0.0,,
offered_load_x4_seed128,24,3,1,64,0,264.75,delivered,delivered,0.354512666657286,0.354512666657286,0.0,,
offered_load_x4_seed128,25,2,1,64,0,267.0,delivered,delivered,0.236512666653482,0.236512666653482,0.0,,
offered_load_x4_seed128,26,3,1,64,0,267.0,delivered,delivered,2.23949266664977,2.23949266664977,0.0,,
offered_load_x4_seed128,27,2,1,64,0,269.25,delivered,delivered,0.431492666648978,0.431492666648978,0.0,,
offered_load_x4_seed128,28,3,1,64,0,269.25,delivered,delivered,0.158492666649465,0.158492666649465,0.0,,
offered_load_x4_seed128,29,2,1,64,0,271.5,delivered,delivered,0.300492666645198,0.300492666645198,0.0,,
offered_load_x4_seed128,30,3,1,64,0,271.5,delivered,delivered,2.56151266664131,2.56151266664131,0.0,,
offered_load_x4_seed128,31,2,1,64,0,273.75,delivered,delivered,2.35349266663752,2.35349266663752,0.0,,
offered_load_x4_seed128,32,3,1,64,0,273.75,delivered,delivered,0.311512666641306,0.311512666641306,0.0,,
offered_load_x4_seed128,33,2,1,64,0,276.0,delivered,delivered,0.493492666636826,0.493492666636826,0.0,,
offered_load_x4_seed128,34,3,1,64,0,276.0,delivered,delivered,2.23549266663372,2.23549266663372,0.0,,
offered_load_x4_seed128,35,2,1,64,0,278.25,delivered,delivered,0.193492666633347,0.193492666633347,0.0,,
offered_load_x4_seed128,36,3,1,64,0,278.25,delivered,delivered,2.5975126666292,2.5975126666292,0.0,,
offered_load_x4_seed128,37,2,1,64,0,280.5,delivered,delivered,2.58351266662521,2.58351266662521,0.0,,
offered_load_x4_seed128,38,3,1,64,0,280.5,delivered,delivered,0.3475126666292,0.3475126666292,0.0,,
offered_load_x4_seed128,39,2,1,64,0,282.75,delivered,delivered,0.333512666625211,0.333512666625211,0.0,,
offered_load_x4_seed128,40,3,1,64,0,282.75,delivered,delivered,2.29749266662157,2.29749266662157,0.0,,
offered_load_x4_seed128,41,2,1,64,0,285.0,delivered,delivered,0.203492666621287,0.203492666621287,0.0,,
offered_load_x4_seed128,42,3,1,64,0,285.0,delivered,delivered,2.49051266661735,2.49051266661735,0.0,,
offered_load_x4_seed128,43,2,1,64,0,287.25,delivered,delivered,2.34749266661345,2.34749266661345,0.0,,
offered_load_x4_seed128,44,3,1,64,0,287.25,delivered,delivered,0.240512666617349,0.240512666617349,0.0,,
offered_load_x4_seed128,45,2,1,64,0,289.5,delivered,delivered,0.357492666612984,0.357492666612984,0.0,,
offered_load_x4_seed128,46,3,1,64,0,289.5,delivered,delivered,4.78951266660522,4.78951266660522,0.0,,
offered_load_x4_seed128,47,2,1,64,0,291.75,delivered,delivered,0.20049266660925,0.20049266660925,0.0,,
offered_load_x4_seed128,48,3,1,64,0,291.75,delivered,delivered,2.53951266660522,2.53951266660522,0.0,,
offered_load_x4_seed128,49,2,1,64,0,294.0,delivered,delivered,2.53851266660121,2.53851266660121,0.0,,
offered_load_x4_seed128,50,3,1,64,0,294.0,delivered,delivered,0.758492666604241,0.758492666604241,0.0,,
offered_load_x4_seed128,51,2,1,64,0,296.25,delivered,delivered,0.288512666601207,0.288512666601207,0.0,,
offered_load_x4_seed128,52,3,1,64,0,296.25,delivered,delivered,2.60251266659708,2.60251266659708,0.0,,
offered_load_x4_seed128,53,2,1,64,0,298.5,delivered,delivered,2.30349266659346,2.30349266659346,0.0,,
offered_load_x4_seed128,54,3,1,64,0,298.5,delivered,delivered,0.352512666597079,0.352512666597079,0.0,,
offered_load_x4_seed128,55,2,1,64,0,300.75,delivered,delivered,0.326492666592969,0.326492666592969,0.0,,
offered_load_x4_seed128,56,3,1,64,0,300.75,delivered,delivered,2.52251266658919,2.52251266658919,0.0,,
offered_load_x4_seed128,57,2,1,64,0,303.0,delivered,delivered,2.27549266658548,2.27549266658548,0.0,,
offered_load_x4_seed128,58,3,1,64,0,303.0,delivered,delivered,0.272512666589193,0.272512666589193,0.0,,
offered_load_x4_seed129,1,2,1,64,0,240.0,delivered,delivered,2.69349266666768,2.69349266666768,0.0,,
offered_load_x4_seed129,2,3,1,64,0,240.0,delivered,delivered,1.54095266666684,1.54095266666684,0.0,,
offered_load_x4_seed129,3,2,1,64,0,242.25,delivered,delivered,0.950492666667884,0.950492666667884,0.0,,
offered_load_x4_seed129,4,3,1,64,0,242.25,delivered,delivered,0.183492666667576,0.183492666667576,0.0,,
offered_load_x4_seed129,5,2,1,64,0,244.5,delivered,delivered,0.364492666668554,0.364492666668554,0.0,,
offered_load_x4_seed129,6,3,1,64,0,244.5,delivered,delivered,0.221492666668496,0.221492666668496,0.0,,
offered_load_x4_seed129,7,2,1,64,0,246.75,delivered,delivered,0.220492666669401,0.220492666669401,0.0,,
offered_load_x4_seed129,8,3,1,64,0,246.75,delivered,delivered,0.350492666669453,0.350492666669453,0.0,,
offered_load_x4_seed129,9,2,1,64,0,249.0,delivered,delivered,2.33849266667116,2.33849266667116,0.0,,
offered_load_x4_seed129,10,3,1,64,0,249.0,delivered,delivered,0.18049266667029,0.18049266667029,0.0,,
offered_load_x4_seed129,11,2,1,64,0,251.25,delivered,delivered,2.54451266667212,2.54451266667212,0.0,,
offered_load_x4_seed129,12,3,1,64,0,251.25,delivered,delivered,0.231492666671215,0.231492666671215,0.0,,
offered_load_x4_seed129,13,2,1,64,0,253.5,delivered,delivered,0.294512666672119,0.294512666672119,0.0,,
offered_load_x4_seed129,14,3,1,64,0,253.5,delivered,delivered,2.34949266667297,2.34949266667297,0.0,,
offered_load_x4_seed129,15,2,1,64,0,255.75,delivered,delivered,2.30949266666971,2.30949266666971,0.0,,
offered_load_x4_seed129,16,3,1,64,0,255.75,delivered,delivered,4.61049266666561,4.61049266666561,0.0,,
offered_load_x4_seed129,17,2,1,64,0,258.0,delivered,delivered,4.62151266666172,4.62151266666172,0.0,,
offered_load_x4_seed129,18,3,1,64,0,258.0,delivered,delivered,0.254492666669364,0.254492666669364,0.0,,
offered_load_x4_seed129,19,2,1,64,0,260.25,delivered,delivered,2.37151266666172,2.37151266666172,0.0,,
offered_load_x4_seed129,20,3,1,64,0,260.25,delivered,delivered,0.266492666665329,0.266492666665329,0.0,,
offered_load_x4_seed129,21,2,1,64,0,262.5,delivered,delivered,0.538492666660829,0.538492666660829,0.0,,
offered_load_x4_seed129,22,3,1,64,0,262.5,delivered,delivered,2.52651266665742,2.52651266665742,0.0,,
offered_load_x4_seed129,23,2,1,64,0,264.75,delivered,delivered,2.31849266665364,2.31849266665364,0.0,,
offered_load_x4_seed129,24,3,1,64,0,264.75,delivered,delivered,0.276512666657425,0.276512666657425,0.0,,
offered_load_x4_seed129,25,2,1,64,0,267.0,delivered,delivered,2.55051266664935,2.55051266664935,0.0,,
