seed,node,source,start_s,end_s,source_attempts,source_admitted,source_blocked,source_delivered_events,nwk_enqueued,nwk_submitted,nwk_released,hop_admitted,hop_sent_callbacks,hop_retry_requests,hop_acks,hop_dacks,hop_dack_expired,hop_failed,mean_nwk_custody,mean_nwk_pre_first_submit,mean_hop_capacity,mean_dack_hold
128,8,8,600.0,900.0,15000,40,14960,40,40,40,40,40,56,16,0,38,40,2,15.998340743956502,15.680419386815869,3.0426799964814535,2.724758639340821
128,8,8,900.0,1200.0,15000,24,14976,24,24,24,24,24,29,5,0,24,24,0,15.999216960978174,15.895306965422915,1.7142166644443046,1.6103066688890477
128,8,8,1200.0,1500.0,15000,21,14979,19,21,21,21,21,27,6,0,21,22,0,15.999214007522532,15.89316401141173,1.5444309826331997,1.438380986522399
128,8,8,1500.0,1800.0,15000,23,14977,21,23,23,23,23,35,12,12,10,11,1,15.999181658767002,15.788982646678399,0.9374833309257352,0.7272843188371333
128,8,8,1800.0,2100.0,15000,32,14968,28,32,32,32,32,42,10,19,12,12,1,15.998780519133804,15.775621507971204,1.0898256789404666,0.8666666677778653
128,8,8,2100.0,2400.0,15000,32,14968,24,32,32,32,32,41,9,11,21,21,0,15.998871503526395,15.811744841767535,1.653793330370131,1.466666668611268
128,8,8,2400.0,2700.0,15000,41,14959,27,41,41,41,41,61,20,29,9,7,3,15.998320744048739,15.585259385056604,0.9043660573366029,0.49130469834446555
128,8,8,2700.0,3000.0,15000,35,14965,24,35,35,35,35,44,9,17,18,17,0,15.998674456982002,15.815367796056526,1.5499023446811406,1.3665956837556663
128,8,8,3000.0,3300.0,15000,27,14973,19,27,27,27,27,41,14,14,12,15,1,15.998978930041133,15.780813252397062,1.160265299155341,0.94209962151127
128,8,8,3300.0,3600.0,15000,27,14973,26,27,27,27,27,32,5,26,0,0,1,15.998885596707796,15.86961325156366,0.12927234514413613,0.0
128,8,8,3600.0,3900.0,15000,28,14972,14,28,28,28,28,36,8,19,9,8,0,15.998900898918935,15.858897570030397,0.7555590118108026,0.6155556829222663
128,8,8,3900.0,4200.0,15000,19,14981,32,19,19,19,19,28,9,17,2,3,0,15.999398705218795,15.856812041422726,0.3270309818924003,0.18444431809633444
128,8,8,4200.0,4500.0,15000,21,14979,19,21,21,21,21,31,10,4,17,15,0,15.999427340855872,15.83097734455987,1.3659880287145947,1.1975380324185911
128,8,8,4500.0,4800.0,15000,28,14972,22,28,28,28,28,36,8,15,11,12,2,15.998885596800404,15.817764236882264,1.0620256788478704,0.8809043189297305
128,8,8,4800.0,5100.0,15000,27,14973,11,27,27,27,27,32,5,16,11,10,0,15.999273247767066,15.871036585359995,0.8608823455145376,0.7326456831074666
128,8,8,5100.0,5400.0,15000,23,14977,23,23,23,23,23,30,7,6,17,18,0,15.999075976492932,15.882455980382135,1.3348943155961328,1.2182743194853356
128,8,8,5400.0,5700.0,15000,22,14978,20,22,22,22,22,26,4,10,12,11,0,15.999331658674404,15.89613832913766,0.9519190127368014,0.8487256832000579
128,8,8,5700.0,6000.0,15000,29,14971,20,29,29,29,29,33,4,8,21,22,0,15.99892521673747,15.882075221645266,1.529367648281265,1.412517653189061
129,2,2,0.0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
129,2,2,300.0,600.0,15000,90,14910,29,90,74,74,74,92,18,21,53,48,0,15.9882924293167,15.029834794430881,4.416639412124078,3.458181777238257
129,2,2,600.0,900.0,15000,35,14965,20,35,35,35,35,50,15,0,33,37,2,15.998335633078671,15.568500930257336,2.9448419546787905,2.5150072518574538
129,2,2,900.0,1200.0,15000,25,14975,32,25,26,25,26,35,10,0,24,24,1,15.999030157348267,15.745795452953068,1.8235047066174783,1.5702700022222784
129,2,2,1200.0,1500.0,15000,14,14986,28,14,14,14,14,18,3,5,9,10,0,15.999597036176802,15.936857038491802,0.7192809773855333,0.6565409797005327
129,2,2,1500.0,1800.0,15000,23,14977,12,23,22,23,22,29,7,21,2,2,0,15.998965845147602,15.861408202947398,0.2708909757187348,0.13333333351853374
129,2,2,1800.0,2100.0,15000,32,14968,21,32,32,32,32,43,11,2,30,28,0,15.9988846541184,15.767284659767004,2.306691372728464,2.0750913783770657
129,2,2,2100.0,2400.0,15000,35,14965,37,35,35,35,35,50,15,0,34,34,1,15.998566611760065,15.705304263498073,2.781785684743727,2.488523336481735
129,2,2,2400.0,2700.0,15000,41,14959,27,41,41,41,41,55,14,9,32,31,0,15.998360129755874,15.699083469941606,2.6352156839103342,2.3359390240960676
129,2,2,2700.0,3000.0,15000,45,14955,38,45,45,45,45,62,17,22,21,21,2,15.998018754156801,15.605437385132337,1.8168147043023994,1.4242333352779315
129,2,2,3000.0,3300.0,15000,27,14973,28,27,28,27,28,35,8,0,27,27,0,15.998763093579067,15.792480744020668,2.07434568539193,1.8680633358335308
129,2,2,3300.0,3600.0,15000,24,14976,29,24,23,24,23,30,6,11,13,16,0,15.999130157255465,15.851105848666402,1.1561739130609325,1.0081496044718703
129,2,2,3600.0,3900.0,15000,21,14979,14,21,21,21,21,23,2,1,20,20,0,15.999327220931868,15.876007224821063,1.4566533312961398,1.3333333351853358
129,2,2,3900.0,4200.0,15000,31,14969,22,31,31,31,31,40,9,27,2,1,2,15.998888384646676,15.752947013121998,0.3376937261760774,0.09175235465140152
129,2,2,4200.0,4500.0,15000,34,14966,22,34,34,34,34,48,14,13,20,21,1,15.998522299652198,15.581629950279005,1.9251399967589986,1.508247647385806
129,2,2,4500.0,4800.0,15000,24,14976,21,24,24,24,24,35,11,3,20,20,1,15.999139178573536,15.796763495033595,1.6690423520585986,1.4666666685186587
129,2,2,4800.0,5100.0,15000,24,14976,27,24,24,24,24,38,14,21,3,3,0,15.998990157255461,15.631096826977927,0.5678933305553346,0.20000000027780213
129,2,2,5100.0,5400.0,15000,32,14968,23,32,32,32,32,46,14,8,23,23,1,15.9985170087698,15.636194659674397,1.9623223512251935,1.600000002129788
129,2,2,5400.0,5700.0,15000,18,14982,13,18,19,18,19,25,6,1,17,17,0,15.999320951274932,15.903478600142325,1.2958423527068013,1.2000000015741958
129,2,2,5700.0,6000.0,15000,41,14959,23,41,40,41,40,52,12,23,18,13,0,15.998040129755877,15.532812490333669,1.6235360800866692,1.1583084406644624
