time_s,node,nwk_queue,nsdp_3_1,hop_pending_data,hop_resend_queue,mac_queue,mac_ack_queue,selected_route_1,selected_route_cost,active_peer_1,active_peer_2,active_peer_3,inactive_neighbor_drops,post_phy_eligibility_drops,app_deliveries,link_failure_callbacks
395,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
400,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
400,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
400,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
405,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
405,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
405,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
410,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
410,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
410,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
415,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
415,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
415,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
420,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
420,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
420,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
425,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
425,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
425,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
430,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
430,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
430,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
435,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
435,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
435,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
440,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
440,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
440,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
445,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
445,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
445,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
450,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
450,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
450,3,1,1,0,0,0,0,1,12548,0,1,0,0,0,0,0
455,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
455,2,0,0,0,0,0,0,1,6274,1,0,1,0,2,0,0
455,3,0,1,1,1,0,0,1,12548,0,1,0,0,0,0,0
460,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
460,2,0,0,0,0,0,0,1,6274,1,0,1,0,3,0,0
460,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
465,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
465,2,0,0,0,0,0,0,1,6274,1,0,1,0,3,0,0
465,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
470,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
470,2,0,0,0,0,0,0,1,6274,1,0,1,0,3,0,0
470,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
475,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
475,2,0,0,0,0,0,0,1,6274,1,0,1,0,3,0,0
475,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
480,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
480,2,0,0,0,0,0,0,1,6274,1,0,1,0,3,0,0
480,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
485,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
485,2,0,0,0,0,0,0,1,6274,1,0,1,0,3,0,0
485,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
490,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
490,2,0,0,0,0,0,0,1,6274,1,0,1,0,5,0,0
490,3,0,1,1,1,0,0,1,12548,0,1,0,0,0,0,0
495,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
495,2,0,0,0,0,0,0,1,6274,1,0,1,0,6,0,0
495,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
500,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
500,2,0,0,0,0,0,0,1,6274,1,0,1,0,6,0,0
500,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
505,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
505,2,0,0,0,0,0,0,1,6274,1,0,1,0,6,0,0
505,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
510,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
510,2,0,0,0,0,0,0,1,6274,1,0,1,0,6,0,0
510,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
515,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
515,2,0,0,0,0,0,0,1,6274,1,0,1,0,6,0,0
515,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
520,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
520,2,0,0,0,0,0,0,0,,0,0,1,0,6,0,0
520,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
525,1,0,0,0,0,0,0,0,,0,0,0,0,3,0,0
525,2,0,0,0,1,1,0,0,,0,0,0,0,8,0,0
525,3,0,1,1,1,0,0,0,,0,0,0,0,3,0,0
530,1,0,0,0,0,0,0,0,,0,0,0,0,5,0,0
530,2,0,0,0,0,0,0,0,,0,0,0,0,10,0,0
530,3,0,1,1,1,0,0,0,,0,0,0,0,5,0,0
535,1,0,0,0,0,0,0,0,,0,0,0,0,5,0,0
535,2,0,0,0,0,0,0,0,,0,0,0,0,10,0,0
535,3,0,0,0,0,0,0,0,,0,0,0,0,5,0,0
540,1,0,0,0,0,0,0,0,,0,0,0,0,5,0,0
540,2,0,0,0,0,0,0,0,,0,0,0,0,10,0,0
540,3,0,0,0,0,0,0,0,,0,0,0,0,5,0,0
545,1,0,0,0,0,0,0,0,,0,0,0,0,5,0,0
545,2,0,0,0,0,0,0,0,,0,0,0,0,10,0,0
545,3,0,0,0,0,0,0,0,,0,0,0,0,5,0,0
550,1,0,0,0,0,0,0,0,,0,0,0,0,5,0,0
550,2,0,0,0,0,0,0,0,,0,0,0,0,10,0,0
550,3,0,0,0,0,0,0,0,,0,0,0,0,5,0,0
555,1,0,0,0,0,0,0,0,,0,0,0,0,5,0,0
555,2,0,0,0,0,0,0,0,,0,0,0,0,10,0,0
555,3,0,0,0,0,0,0,0,,0,0,0,0,5,0,0
560,1,0,0,0,0,0,0,0,,0,0,0,0,5,0,0
560,2,0,0,0,0,0,0,0,,0,0,0,0,10,0,0
560,3,1,1,0,0,0,0,0,,0,0,0,0,5,0,0
565,1,0,0,0,0,0,0,0,,0,0,0,0,5,0,0
565,2,0,0,0,0,0,0,0,,0,0,0,0,10,0,0
565,3,1,1,0,0,0,0,0,,0,0,0,0,5,0,0
570,1,0,0,0,0,0,0,0,,0,0,0,0,5,0,0
570,2,0,0,0,0,0,0,0,,0,0,0,0,10,0,0
570,3,1,1,0,0,0,0,0,,0,0,0,0,5,0,0
575,1,0,0,0,0,0,0,0,,0,0,0,0,5,0,0
575,2,0,0,0,0,0,0,0,,0,0,0,0,10,0,0
575,3,1,1,0,0,0,0,0,,0,0,0,0,5,0,0
580,1,0,0,0,1,4,3,0,,0,1,0,0,5,0,0
580,2,0,0,0,2,2,2,1,6274,1,0,0,0,10,0,0
580,3,1,1,0,0,0,0,0,,0,0,0,0,5,0,0
585,1,0,0,0,1,2,2,0,,0,1,0,0,5,0,0
585,2,0,0,0,1,5,5,1,6274,1,0,1,0,10,0,0
585,3,0,1,1,1,3,3,1,12548,0,1,0,0,5,0,0
590,1,0,0,0,0,0,0,0,,0,1,0,0,5,1,0
590,2,0,0,0,0,0,0,1,6274,1,0,1,0,10,0,0
590,3,0,0,0,0,1,1,1,12548,0,1,0,0,5,0,0
595,1,0,0,0,0,1,1,0,,0,1,0,0,5,1,0
595,2,0,0,0,0,2,2,1,6274,1,0,1,0,10,0,0
595,3,0,1,1,1,0,0,1,12548,0,1,0,0,5,0,0
600,1,0,0,0,0,0,0,0,,0,1,0,0,5,2,0
600,2,0,0,0,0,0,0,1,6274,1,0,1,0,10,0,0
600,3,0,0,0,0,0,0,1,12548,0,1,0,0,5,0,0
605,1,0,0,0,0,0,0,0,,0,1,0,0,5,2,0
605,2,0,0,0,0,0,0,1,6274,1,0,1,0,10,0,0
605,3,0,0,0,0,0,0,1,12548,0,1,0,0,5,0,0
610,1,0,0,0,0,0,0,0,,0,1,0,0,5,2,0
610,2,0,0,0,0,0,0,1,6274,1,0,1,0,10,0,0
610,3,0,0,0,0,0,0,1,12548,0,1,0,0,5,0,0
615,1,0,0,0,0,0,0,0,,0,1,0,0,5,2,0
615,2,0,0,0,0,0,0,1,6274,1,0,1,0,10,0,0
615,3,0,0,0,0,0,0,1,12548,0,1,0,0,5,0,0
620,1,0,0,0,0,0,0,0,,0,1,0,0,5,2,0
620,2,0,0,0,0,0,0,1,6274,1,0,1,0,10,0,0
620,3,0,0,0,0,0,0,1,12548,0,1,0,0,5,0,0
625,1,0,0,0,0,0,0,0,,0,1,0,0,5,2,0
625,2,0,0,0,0,0,0,1,6274,1,0,1,0,10,0,0
625,3,0,0,0,0,0,0,1,12548,0,1,0,0,5,0,0
630,1,0,0,0,0,0,0,0,,0,1,0,0,5,2,0
630,2,0,0,0,0,0,0,1,6274,1,0,1,0,10,0,0
630,3,0,0,0,0,0,0,1,12548,0,1,0,0,5,0,0
635,1,0,0,0,0,0,0,0,,0,1,0,0,5,2,0
635,2,0,0,0,0,0,0,1,6274,1,0,1,0,10,0,0
635,3,0,0,0,0,0,0,1,12548,0,1,0,0,5,0,0
640,1,0,0,0,0,0,0,0,,0,1,0,0,5,2,0
640,2,0,0,0,0,0,0,1,6274,1,0,1,0,10,0,0
640,3,0,0,0,0,0,0,1,12548,0,1,0,0,5,0,0
645,1,0,0,0,0,0,0,0,,0,1,0,0,5,2,0
645,2,0,0,0,0,0,0,1,6274,1,0,1,0,10,0,0
645,3,0,0,0,0,0,0,1,12548,0,1,0,0,5,0,0
650,1,0,0,0,0,0,0,0,,0,1,0,0,5,2,0
650,2,0,0,0,0,0,0,1,6274,1,0,1,0,10,0,0
650,3,0,0,0,0,0,0,1,12548,0,1,0,0,5,0,0
655,1,0,0,0,0,0,0,0,,0,1,0,0,5,2,0
