seed,node,source,destination,sequence,peer,time_s,reason,resend_count,event_index,enqueue_s,admission_s,admission_event_index,hop_admission_to_nsdp_release_completion_s,enqueue_to_nsdp_release_completion_s
129,4,2,1,5152,5,1584.466292444,ack,0,1222150,1349.306813632,1582.919292472,1220486,1.5469999719998668,235.15947881199986
129,4,7,1,3942,5,1584.466292444,ack,2,1222153,1336.592813632,1577.186292472,1215675,7.279999971999814,247.87347881200003
129,4,4,1,6791,5,1585.662292444,ack,0,1223335,1360.64,1584.466292472,1222163,1.1959999719999814,225.02229244399996
129,4,7,1,3966,5,1585.662292444,ack,0,1223338,1357.717813632,1584.466292472,1222156,1.1959999719999814,227.94447881200017
129,4,4,1,6830,5,1587.105292444,ack,0,1224605,1369.68,1585.662292472,1223341,1.4429999720000524,217.42529244399998
129,4,8,1,4296,5,1588.288292444,ack,0,1225497,1378.413813632,1587.105292472,1224608,1.1829999720000615,209.874478812
129,4,4,1,6913,5,1589.250292444,ack,0,1226281,1387.64,1588.288292472,1225500,0.9619999720000578,201.61029244399992
129,4,7,1,3973,5,1591.980292444,ack,1,1229066,1372.459813632,1585.662292472,1223348,6.317999972000052,219.52047881199996
129,4,7,1,4042,5,1593.683292444,ack,0,1230258,1399.980813632,1591.980292472,1229076,1.7029999720000433,193.70247881199998
129,4,4,1,7022,5,1595.880292444,ack,0,1232038,1408.24,1593.683292472,1230261,2.196999971999958,187.6402924439999
129,4,4,1,6884,5,1595.880292444,ack,2,1232041,1382.14,1587.105292472,1224615,8.774999971999932,213.7402924439998
129,4,4,1,7030,5,1598.727292444,ack,0,1234662,1409.7,1595.880292472,1232044,2.8469999720000487,189.02729244400007
129,8,7,1,5571,2,1598.740295346,dack,1,1234798,1224.142812442,1595.639295402,1231616,3.100999944000023,374.5974829040001
129,4,4,1,7048,5,1600.391292444,ack,0,1236279,1413.02,1595.880292472,1232058,4.510999972000036,187.37129244400012
129,4,4,1,7059,5,1601.912292444,ack,0,1237294,1414.66,1600.391292472,1236282,1.520999972000027,187.25229244399998
129,4,4,1,7031,5,1602.562292444,ack,1,1237951,1409.72,1595.880292472,1232051,6.681999971999858,192.8422924439999
129,8,8,1,6161,2,1603.069295346,ack,0,1238512,1230.14,1602.100295402,1237552,0.968999943999961,372.9292953459999
129,4,7,1,4071,5,1603.446292444,ack,0,1238945,1416.633813632,1601.912292472,1237304,1.5339999719999469,186.81247881199988
129,4,4,1,7066,5,1603.446292444,ack,0,1238948,1415.52,1601.912292472,1237297,1.5339999719999469,187.92629244399996
129,8,7,1,5615,2,1603.914295346,dack,0,1239559,1231.396812442,1603.069295374,1238515,0.844999972000096,372.51748290399996
129,4,8,1,4349,5,1604.066000028,no_ack,2,1239729,1395.248813632,1589.250292472,1226284,14.815707556000007,208.8171863959999
129,4,2,1,5277,5,1604.534000028,no_ack,2,1240194,1399.408813632,1591.980292472,1229069,12.553707556000063,205.12518639600012
129,4,4,1,7096,5,1604.733292444,ack,0,1240426,1420.14,1603.446292472,1238951,1.286999971999876,184.59329244399987
129,4,4,1,7086,5,1604.733292444,ack,0,1240429,1418.98,1602.562292472,1237954,2.1709999719998905,185.75329244399995
129,8,7,1,5661,2,1605.864295346,dack,0,1241677,1233.788812442,1603.855295402,1239459,2.008999944000152,372.07548290399995
129,4,4,1,7123,5,1606.579292444,ack,0,1242391,1424.62,1604.733292472,1240432,1.8459999720000724,181.95929244400008
129,4,2,1,5362,5,1608.009292444,ack,0,1243571,1440.436813632,1606.579292472,1242394,1.4299999720001324,167.5724788120001
129,4,7,1,4078,5,1608.555292444,ack,0,1243964,1441.385813632,1606.579292472,1242401,1.9759999720001815,167.16947881200008
129,4,2,1,5393,5,1609.491292444,ack,0,1244699,1443.699813632,1608.009292472,1243574,1.4819999720000396,165.79147881199992
129,4,8,1,4413,5,1609.491292444,ack,1,1244702,1439.760813632,1604.733292472,1240439,4.757999972000107,169.730478812
129,4,7,1,4053,5,1609.491292444,dack,1,1244705,1420.793813632,1603.446292472,1238958,6.044999971999914,188.6974788120001
129,4,7,1,4119,5,1610.141292444,dack,0,1245268,1444.089813632,1608.555292472,1243967,1.5859999720000815,166.05147881200014
129,4,4,1,7056,5,1610.839000028,no_ack,2,1245836,1414.08,1598.727292472,1234665,12.111707556000056,196.75900002800017
129,4,7,1,4154,5,1611.168292444,dack,0,1246294,1461.886813632,1609.491292472,1244707,1.676999971999976,149.28147881199993
129,4,8,1,4471,5,1615.627292444,ack,0,1250559,1482.478813632,1609.491292472,1244721,6.135999972000036,133.1484788119999
129,4,7,1,4174,5,1615.627292444,dack,0,1250562,1465.266813632,1609.491292472,1244714,6.135999972000036,150.36047881199988
129,4,8,1,4548,5,1617.252292444,ack,0,1252307,1483.141813632,1615.627292472,1250564,1.6249999720000687,134.11047881199988
129,8,7,1,5666,2,1619.397295346,dack,0,1254477,1245.072812442,1618.740295402,1253683,0.6569999440000629,374.324482904
129,4,8,1,4522,5,1620.957292444,ack,0,1255949,1483.635813632,1617.252292472,1252310,3.704999971999996,137.3214788119999
