seed,node,peer,source,destination,sequence,hop_sequence,admission_s,admission_event_index,threshold_at_admission,release_s,release_reason,release_event,capacity_retention_s
130,8,2,7,1,3817,289,1047.305295402,800735,5,1068.073295374,dack_expiry,hop_capacity_release,20.767999972000098
130,7,8,7,1,5292,289,1048.261292498,802034,6,1069.00929247,dack_expiry,hop_capacity_release,20.74799997199989
130,8,2,7,1,3822,290,1051.667295402,805347,5,1072.337295374,dack_expiry,hop_capacity_release,20.669999971999914
130,7,8,7,1,5306,290,1055.788292498,809290,6,1076.49729247,dack_expiry,hop_capacity_release,20.70899997200013
130,4,5,7,1,1982,297,1055.2422925,808747,3,1076.640292472,dack_expiry,hop_capacity_release,21.39799997199998
130,8,2,7,1,3865,292,1054.982295402,808340,5,1077.082295374,dack_expiry,hop_capacity_release,22.099999971999978
130,8,2,7,1,3828,291,1054.982295402,808333,5,1077.082295374,dack_expiry,hop_capacity_release,22.099999971999978
130,7,8,7,1,5322,291,1056.412292498,809945,6,1077.51129247,dack_expiry,hop_capacity_release,21.098999972
130,8,2,8,1,4215,298,1077.082295402,831425,5,1078.766295346,ack,hop_completion,1.6839999440001066
130,8,2,7,1,3876,293,1058.778295402,812624,5,1079.448295374,dack_expiry,hop_capacity_release,20.66999997200014
130,8,2,8,1,4218,299,1078.766295374,833546,5,1080.846295346,ack,hop_completion,2.079999971999996
130,4,5,7,1,2008,298,1058.6482925,812464,3,1081.463292472,dack_expiry,hop_capacity_release,22.814999971999896
130,7,8,7,1,5361,292,1061.781292498,815423,6,1082.42529247,dack_expiry,hop_capacity_release,20.643999971999847
130,7,8,7,1,5367,293,1062.509292498,816778,6,1083.02329247,dack_expiry,hop_capacity_release,20.513999971999965
130,7,8,7,1,5392,294,1064.160292498,818943,6,1085.22029247,dack_expiry,hop_capacity_release,21.059999972000014
130,7,8,7,1,5399,295,1065.460292498,820298,6,1086.18229247,dack_expiry,hop_capacity_release,20.72199997200005
130,4,5,7,1,1957,295,1037.0092925,789725,3,1087.423292472,dack_expiry,hop_capacity_release,50.413999972000056
130,8,2,7,1,3913,295,1068.073295402,823208,5,1088.938295374,dack_expiry,hop_capacity_release,20.864999972000078
130,8,2,7,1,3889,294,1067.130295402,822037,5,1088.938295374,dack_expiry,hop_capacity_release,21.80799997200006
130,4,5,7,1,1988,299,1068.0472925,823107,3,1089.029292472,dack_expiry,hop_capacity_release,20.98199997200004
130,7,8,7,1,5410,296,1069.009292498,824180,6,1089.66629247,dack_expiry,hop_capacity_release,20.656999971999994
130,4,5,8,1,2343,302,1087.4232925,842908,3,1092.910292444,ack,hop_completion,5.4869999440002175
130,8,2,7,1,3936,296,1072.337295402,827016,5,1092.955295374,dack_expiry,hop_capacity_release,20.61799997199978
130,8,2,8,1,4259,304,1092.955295402,849436,5,1094.236295346,ack,hop_completion,1.2809999439998592
130,8,2,8,1,4268,305,1094.236295374,850981,5,1094.665295346,ack,hop_completion,0.4289999719999287
130,4,5,8,1,2320,300,1076.6402925,830690,3,1094.895000028,no_ack,hop_completion,18.254707527999926
130,8,2,8,1,4270,306,1094.665295374,851676,5,1097.577295346,ack,hop_completion,2.9119999720001033
130,8,2,8,1,4278,307,1097.577295374,855084,5,1098.162295346,ack,hop_completion,0.5849999720001051
130,7,8,7,1,5434,298,1077.511292498,831869,6,1098.62329247,dack_expiry,hop_capacity_release,21.11199997199992
130,8,2,7,1,3969,297,1077.082295402,831418,5,1098.766295374,dack_expiry,hop_capacity_release,21.683999972000038
130,8,2,7,1,3982,300,1079.448295402,834458,5,1100.846295374,dack_expiry,hop_capacity_release,21.39799997199998
130,8,2,8,1,4284,308,1098.162295374,855801,5,1102.426295346,ack,hop_completion,4.263999971999965
130,7,8,7,1,5476,299,1082.425292498,837855,6,1103.04329247,dack_expiry,hop_capacity_release,20.617999972000007
130,4,5,8,1,2348,303,1089.0292925,844868,3,1104.155292444,ack,hop_completion,15.125999943999886
130,7,8,7,1,5482,300,1083.023292498,838362,6,1104.22629247,dack_expiry,hop_capacity_release,21.202999972000043
130,7,8,7,1,5503,301,1085.220292498,840553,6,1106.20229247,dack_expiry,hop_capacity_release,20.98199997200004
130,4,5,7,1,2090,306,1104.155292472,863125,1,1106.781292444,ack,hop_completion,2.625999972000045
130,8,2,7,1,4000,301,1080.846295374,835803,5,1108.737295374,dack_expiry,hop_capacity_release,27.891000000000076
130,8,2,7,1,4005,303,1088.938295402,844598,5,1110.323295374,dack_expiry,hop_capacity_release,21.38499997200006
130,7,8,7,1,5517,303,1089.666292498,845776,6,1110.63529247,dack_expiry,hop_capacity_release,20.968999971999892
130,4,5,7,1,2127,305,1103.453292472,862200,1,1113.775292444,ack,hop_completion,10.321999971999958
130,8,2,7,1,4001,302,1088.938295402,844591,5,1114.236295374,dack_expiry,hop_capacity_release,25.29799997200007
130,7,8,7,1,5527,304,1098.623292498,856648,6,1119.52729247,dack_expiry,hop_capacity_release,20.903999972000065
130,7,8,7,1,5416,297,1076.497292498,830567,6,1121.27529247,dack_expiry,hop_capacity_release,44.77799997200009
130,4,5,7,1,2095,307,1106.781292472,866105,1,1121.545000028,no_ack,hop_completion,14.7637075560001
130,8,2,7,1,4023,309,1098.766295402,856857,5,1122.426295374,dack_expiry,hop_capacity_release,23.659999971999923
130,8,2,7,1,4045,311,1102.426295374,860839,5,1123.258295374,dack_expiry,hop_capacity_release,20.832000000000107
130,8,2,7,1,4039,310,1100.846295402,859109,5,1123.258295374,dack_expiry,hop_capacity_release,22.411999972000103
130,7,8,7,1,5544,305,1103.043292498,861615,6,1123.58329247,dack_expiry,hop_capacity_release,20.539999972000032
130,7,8,7,1,5579,306,1104.226292498,863282,6,1124.70129247,dack_expiry,hop_capacity_release,20.474999971999978
130,7,8,7,1,5584,307,1106.202292498,865554,6,1127.17129247,dack_expiry,hop_capacity_release,20.96899997200012
130,4,5,7,1,2101,310,1120.548292472,880266,1,1128.361292444,ack,hop_completion,7.812999971999943
130,8,2,7,1,4085,312,1108.737295402,868666,5,1129.212295374,dack_expiry,hop_capacity_release,20.474999971999978
130,4,5,7,1,2142,311,1128.361292472,888662,0,1129.232292444,ack,hop_completion,0.870999971999936
130,7,8,7,1,5510,302,1086.182292498,841731,6,1131.28529247,dack_expiry,hop_capacity_release,45.102999972000134
130,7,8,7,1,5607,308,1110.635292498,871244,6,1131.64329247,dack_expiry,hop_capacity_release,21.007999972000107
130,8,2,7,1,4110,314,1114.236295402,874419,5,1135.192295374,dack_expiry,hop_capacity_release,20.955999971999972
130,7,8,7,1,5612,309,1119.527292498,879424,6,1140.31429247,dack_expiry,hop_capacity_release,20.786999972000103
130,7,8,7,1,5623,310,1121.275292498,880898,6,1142.38129247,dack_expiry,hop_capacity_release,21.105999972000063
130,7,8,7,1,5628,311,1123.583292498,883610,6,1144.60429247,dack_expiry,hop_capacity_release,21.020999972000027
130,7,8,7,1,5649,312,1124.701292498,884645,6,1145.47529247,dack_expiry,hop_capacity_release,20.773999972000183
130,7,8,7,1,5693,313,1127.171292498,887162,6,1147.97129247,dack_expiry,hop_capacity_release,20.799999972000023
130,8,2,7,1,4135,316,1123.258295402,883117,5,1148.192295374,dack_expiry,hop_capacity_release,24.933999972000038
130,8,2,7,1,4154,317,1123.258295402,883124,5,1149.362295374,dack_expiry,hop_capacity_release,26.10399997200011
130,8,2,7,1,4157,318,1129.212295402,889599,5,1150.129295374,dack_expiry,hop_capacity_release,20.916999971999985
130,8,2,7,1,4129,315,1122.426295402,882385,5,1150.129295374,dack_expiry,hop_capacity_release,27.702999972000043
130,7,8,7,1,5717,315,1131.643292498,892682,6,1155.10829247,dack_expiry,hop_capacity_release,23.464999971999987
130,8,2,7,1,4109,313,1110.323295402,870794,5,1155.647295374,dack_expiry,hop_capacity_release,45.32399997199991
130,8,2,8,1,4535,324,1155.647295402,916887,5,1156.168295346,ack,hop_completion,0.5209999439998683
130,8,2,7,1,4183,319,1135.192295402,896843,5,1156.590295374,dack_expiry,hop_capacity_release,21.397999972000207
130,4,5,7,1,2132,313,1145.894000056,907111,0,1159.912292444,ack,hop_completion,14.018292387999963
130,7,8,7,1,5725,316,1140.314292498,902226,6,1161.14029247,dack_expiry,hop_capacity_release,20.82599997200009
130,7,8,7,1,5736,317,1142.381292498,904251,6,1163.11629247,dack_expiry,hop_capacity_release,20.73499997199997
130,7,8,7,1,5758,318,1144.604292498,905910,6,1165.44329247,dack_expiry,hop_capacity_release,20.83899997200001
130,7,8,7,1,5763,319,1145.475292498,906621,6,1166.22329247,dack_expiry,hop_capacity_release,20.74799997199989
130,4,5,7,1,2141,314,1159.912292472,921803,0,1166.464292444,ack,hop_completion,6.551999971999976
130,7,8,7,1,5807,320,1147.971292498,909220,6,1168.56329247,dack_expiry,hop_capacity_release,20.591999972000167
130,8,2,7,1,4198,321,1149.362295402,910692,5,1171.202295374,dack_expiry,hop_capacity_release,21.839999971999987
130,8,2,7,1,4241,323,1150.129295402,911320,5,1172.138295374,dack_expiry,hop_capacity_release,22.008999972000083
130,8,2,7,1,4225,322,1150.129295402,911313,5,1172.138295374,dack_expiry,hop_capacity_release,22.008999972000083
130,8,2,7,1,4220,320,1148.192295402,909571,5,1172.541295374,dack_expiry,hop_capacity_release,24.348999972
130,8,2,8,1,4589,328,1172.138295402,934299,5,1173.328295346,ack,hop_completion,1.1899999439999647
130,8,2,8,1,4620,330,1172.541295402,935010,5,1174.017295346,ack,hop_completion,1.4759999440000229
130,4,5,7,1,2223,315,1166.464292472,928098,0,1176.652000028,no_ack,hop_completion,10.187707556000078
130,8,2,7,1,4246,325,1156.168295374,917412,5,1177.000295374,dack_expiry,hop_capacity_release,20.83199999999988
130,7,8,7,1,5708,314,1131.285292498,892289,6,1177.29229247,dack_expiry,hop_capacity_release,46.0069999719999
130,8,2,7,1,4290,326,1156.590295402,918149,5,1177.507295374,dack_expiry,hop_capacity_release,20.916999971999985
130,7,8,7,1,5838,322,1161.140292498,923411,6,1181.55029247,dack_expiry,hop_capacity_release,20.409999971999923
130,7,8,7,1,5853,323,1163.116292498,925496,6,1183.73429247,dack_expiry,hop_capacity_release,20.617999972000007
130,7,8,7,1,5876,324,1165.443292498,927199,6,1186.08729247,dack_expiry,hop_capacity_release,20.643999972000074
130,7,8,7,1,5916,325,1166.223292498,927878,6,1187.30929247,dack_expiry,hop_capacity_release,21.085999971999854
130,4,5,8,1,2443,316,1176.652000056,939553,0,1188.512292444,ack,hop_completion,11.860292388000062
130,7,8,7,1,5927,326,1168.563292498,930662,6,1189.24629247,dack_expiry,hop_capacity_release,20.68299997200006
