schema,stage,time_s,node_id,peer_id,frame_type,hop_sequence,decision_id,packet_uid,has_ack_window,ack_bitmap,dack_bitmap,selected_rate_key_kbps,selected_rate_bps,selected_power_dbm,advertised_rx_power_dbm,peer_known,peer_s0_dbm,path_loss_db,hop_failure_count,min_rate_key_kbps,max_rate_key_kbps,min_power_dbm,max_power_dbm,link_margin_db,incoming_rate_key_kbps,incoming_rate_bps,incoming_power_dbm,actual_rate_key_kbps,actual_rate_bps,actual_power_dbm,aggregate_id,segment_index,segment_count
csr-ns3-feedback-observation-v1,ota_segment,13.390000000000001,1,2,ACK,3,6,27,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967303,3,10
csr-ns3-feedback-observation-v1,ota_segment,13.390000000000001,1,2,ACK,4,7,29,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967303,4,10
csr-ns3-feedback-observation-v1,ota_segment,13.390000000000001,1,2,ACK,5,11,53,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967303,5,10
csr-ns3-feedback-observation-v1,ota_segment,13.390000000000001,1,2,ACK,6,12,55,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967303,6,10
csr-ns3-feedback-observation-v1,ota_segment,13.390000000000001,1,3,ACK,3,13,60,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967303,7,10
csr-ns3-feedback-observation-v1,ota_segment,13.390000000000001,1,3,ACK,4,14,62,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967303,8,10
csr-ns3-feedback-observation-v1,ota_segment,13.390000000000001,1,3,ACK,5,19,84,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967303,9,10
csr-ns3-feedback-observation-v1,ota_segment,13.390000000000001,1,3,ACK,6,20,86,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967303,10,10
csr-ns3-feedback-observation-v1,ota_segment,13.442,3,1,ACK,3,10,45,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901896,1,4
csr-ns3-feedback-observation-v1,ota_segment,13.442,3,1,ACK,4,17,74,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901896,2,4
csr-ns3-feedback-observation-v1,ota_segment,13.442,3,1,ACK,5,18,76,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901896,3,4
csr-ns3-feedback-observation-v1,ota_segment,13.442,3,1,ACK,6,22,93,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901896,4,4
csr-ns3-feedback-observation-v1,ota_segment,13.558999999999999,2,1,ACK,3,4,21,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934600,1,7
csr-ns3-feedback-observation-v1,ota_segment,13.558999999999999,2,1,ACK,4,8,37,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934600,2,7
csr-ns3-feedback-observation-v1,ota_segment,13.558999999999999,2,1,ACK,5,9,39,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934600,3,7
csr-ns3-feedback-observation-v1,ota_segment,13.558999999999999,2,1,ACK,6,15,70,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934600,4,7
csr-ns3-feedback-observation-v1,ota_segment,13.558999999999999,2,1,ACK,7,16,72,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934600,5,7
csr-ns3-feedback-observation-v1,ota_segment,13.558999999999999,2,1,ACK,8,21,91,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934600,6,7
csr-ns3-feedback-observation-v1,feedback_selection,13.589964,1,2,ACK,7,23,98,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,ota_segment,13.792999999999999,2,1,ACK,4,8,37,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934601,1,5
csr-ns3-feedback-observation-v1,ota_segment,13.792999999999999,2,1,ACK,5,9,39,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934601,2,5
csr-ns3-feedback-observation-v1,ota_segment,13.792999999999999,2,1,ACK,6,15,70,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934601,3,5
csr-ns3-feedback-observation-v1,ota_segment,13.792999999999999,2,1,ACK,7,16,72,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934601,4,5
csr-ns3-feedback-observation-v1,ota_segment,13.792999999999999,2,1,ACK,8,21,91,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934601,5,5
csr-ns3-feedback-observation-v1,ota_segment,13.845000000000001,1,3,ACK,2,5,23,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967304,1,10
csr-ns3-feedback-observation-v1,ota_segment,13.845000000000001,1,2,ACK,3,6,27,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967304,2,10
csr-ns3-feedback-observation-v1,ota_segment,13.845000000000001,1,2,ACK,4,7,29,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967304,3,10
csr-ns3-feedback-observation-v1,ota_segment,13.845000000000001,1,2,ACK,5,11,53,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967304,4,10
csr-ns3-feedback-observation-v1,ota_segment,13.845000000000001,1,2,ACK,6,12,55,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967304,5,10
csr-ns3-feedback-observation-v1,ota_segment,13.845000000000001,1,3,ACK,3,13,60,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967304,6,10
csr-ns3-feedback-observation-v1,ota_segment,13.845000000000001,1,3,ACK,4,14,62,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967304,7,10
csr-ns3-feedback-observation-v1,ota_segment,13.845000000000001,1,3,ACK,5,19,84,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967304,8,10
csr-ns3-feedback-observation-v1,ota_segment,13.845000000000001,1,3,ACK,6,20,86,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967304,9,10
csr-ns3-feedback-observation-v1,ota_segment,13.845000000000001,1,2,ACK,7,23,98,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967304,10,10
csr-ns3-feedback-observation-v1,ota_segment,13.884,3,1,ACK,3,10,45,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901897,1,4
csr-ns3-feedback-observation-v1,ota_segment,13.884,3,1,ACK,4,17,74,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901897,2,4
csr-ns3-feedback-observation-v1,ota_segment,13.884,3,1,ACK,5,18,76,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901897,3,4
csr-ns3-feedback-observation-v1,ota_segment,13.884,3,1,ACK,6,22,93,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901897,4,4
csr-ns3-feedback-observation-v1,ota_segment,14.066000000000001,1,2,ACK,5,11,53,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967305,1,7
csr-ns3-feedback-observation-v1,ota_segment,14.066000000000001,1,2,ACK,6,12,55,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967305,2,7
csr-ns3-feedback-observation-v1,ota_segment,14.066000000000001,1,3,ACK,3,13,60,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967305,3,7
csr-ns3-feedback-observation-v1,ota_segment,14.066000000000001,1,3,ACK,4,14,62,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967305,4,7
csr-ns3-feedback-observation-v1,ota_segment,14.066000000000001,1,3,ACK,5,19,84,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967305,5,7
