Experiment,Parameter,Value,Metric,SeedCount,FiniteCount,MissingCount,Mean,SampleStd,Min,Max
recovery_freshness,FreshnessTimeoutSeconds,180.0,ControlPending,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,180.0,ControlPendingTargets,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,180.0,NwkPendingControlMessages,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,180.0,HopPendingData,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,180.0,NwkPendingCustody,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,180.0,ResendQueueDepth,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,180.0,DackHoldCount,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,180.0,PhysicalPending,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,180.0,DataDrained,3,3,0,1,0.0,1,1
recovery_freshness,FreshnessTimeoutSeconds,180.0,ControlsDrained,3,3,0,1,0.0,1,1
recovery_freshness,FreshnessTimeoutSeconds,180.0,OwnershipDrained,3,3,0,1,0.0,1,1
recovery_freshness,FreshnessTimeoutSeconds,300.0,DeliveryRatio,3,3,0,0.4,0.0,0.4,0.4
recovery_freshness,FreshnessTimeoutSeconds,300.0,LatencyP95Seconds,3,3,0,2.9415393333371935,0.07392112914019648,2.88087266667037,3.02387266667074
recovery_freshness,FreshnessTimeoutSeconds,300.0,MaxLatencySeconds,3,3,0,2.9415393333371935,0.07392112914019648,2.88087266667037,3.02387266667074
recovery_freshness,FreshnessTimeoutSeconds,300.0,Generated,3,3,0,5,0.0,5,5
recovery_freshness,FreshnessTimeoutSeconds,300.0,Received,3,3,0,2,0.0,2,2
recovery_freshness,FreshnessTimeoutSeconds,300.0,Dropped,3,3,0,3,0.0,3,3
recovery_freshness,FreshnessTimeoutSeconds,300.0,Pending,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,300.0,PhysicalTransmissions,3,3,0,329,9.16515138991168,321,339
recovery_freshness,FreshnessTimeoutSeconds,300.0,HopDataRetransmissions,3,3,0,7,0.0,7,7
recovery_freshness,FreshnessTimeoutSeconds,300.0,HopControlRetransmissions,3,3,0,7,2.6457513110645907,5,10
recovery_freshness,FreshnessTimeoutSeconds,300.0,ControlFailures,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,300.0,HopControlFailures,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,300.0,NeighborDeactivations,3,3,0,1,0.0,1,1
recovery_freshness,FreshnessTimeoutSeconds,300.0,RouteChanges,3,3,0,17.666666666666668,0.5773502691896257,17,18
recovery_freshness,FreshnessTimeoutSeconds,300.0,ControlPending,3,3,0,1,0.0,1,1
recovery_freshness,FreshnessTimeoutSeconds,300.0,ControlPendingTargets,3,3,0,1,0.0,1,1
recovery_freshness,FreshnessTimeoutSeconds,300.0,NwkPendingControlMessages,3,3,0,2,0.0,2,2
recovery_freshness,FreshnessTimeoutSeconds,300.0,HopPendingData,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,300.0,NwkPendingCustody,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,300.0,ResendQueueDepth,3,3,0,1,0.0,1,1
recovery_freshness,FreshnessTimeoutSeconds,300.0,DackHoldCount,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,300.0,PhysicalPending,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,300.0,DataDrained,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,300.0,ControlsDrained,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,300.0,OwnershipDrained,3,3,0,0,0.0,0,0
