case_id,step,time_s,action,packet,accepted,nsdp_relay,nsdp_local,nwk_waiting,nwk_owned,hop_pending,hop_outstanding,hop_resend,hop_holds,rx_highest,rx_ack_hex,rx_dack_hex,ack_generated,dack_generated,rx_received,rx_delivered,rx_duplicates,nsdp_releases,ack_completed,dack_completed,dack_expired,data_tx
local_delivery_bypass,10,0.190001,RX,r10,-1,10,0,9,10,1,1,1,0,10,00000000000003FF,0000000000000000,10,0,10,10,0,0,0,0,0,0
local_delivery_bypass,11,0.20000100000000001,RX,r11,-1,11,0,10,11,1,1,1,0,11,00000000000007FF,0000000000000000,11,0,11,11,0,0,0,0,0,0
local_delivery_bypass,12,0.21000099999999999,RX,r12,-1,12,0,11,12,1,1,1,0,12,0000000000000FFF,0000000000000000,12,0,12,12,0,0,0,0,0,0
local_delivery_bypass,13,0.220001,RX,r13,-1,13,0,12,13,1,1,1,0,13,0000000000001FFF,0000000000000000,13,0,13,13,0,0,0,0,0,0
local_delivery_bypass,14,0.23000100000000001,RX,r14,-1,14,0,13,14,1,1,1,0,14,0000000000003FFF,0000000000000000,14,0,14,14,0,0,0,0,0,0
local_delivery_bypass,15,0.24000099999999999,RX,r15,-1,15,0,14,15,1,1,1,0,15,0000000000007FFF,0000000000000000,15,0,15,15,0,0,0,0,0,0
local_delivery_bypass,16,0.25000099999999997,RX,r16,-1,16,0,15,16,1,1,1,0,16,000000000000FFFF,0000000000000000,16,0,16,16,0,0,0,0,0,0
local_delivery_bypass,17,0.26000099999999998,RX,r17,-1,17,0,16,17,1,1,1,0,17,000000000001FFFE,0000000000000001,16,1,17,17,0,0,0,0,0,0
local_delivery_bypass,18,0.27000099999999999,RX,to8,-1,17,0,16,17,1,1,1,0,18,000000000003FFFD,0000000000000002,17,1,18,18,0,0,0,0,0,0
local_delivery_bypass,19,0.280001,RX,to8,-1,17,0,16,17,1,1,1,0,18,000000000003FFFD,0000000000000002,18,1,19,18,1,0,0,0,0,0
